N;NOM;XL93;YL93;FROM;TO;C10C40_LD;C10C40;OUT;ECH;EP;ALT;LITHO;GEOLE;CLC;Copernic;GEOBAP;COPER_H2;GEOBAP_H2;GEO_COPER_H2;dist_basias;dist_basol;dist_centre;dist_eau;dist_route
1;Z91P6;567096.32;6273022.49;0.9;2;<;20;1;E2;1.1;164.2630737;4;2;5;7;8;4;4;42;166.6768646;1625.420166;9516.828125;1418.731812;28.28427124
2;Z91P6;567096.32;6273022.49;0;0.9;<;20;1;E1;0.9;164.2630737;4;2;5;7;8;4;4;42;166.6768646;1625.420166;9516.828125;1418.731812;28.28427124
3;DMP11;567123.92;6272921.19;0;0.9;<;20;1;E1;0.9;164.2179967;4;2;5;7;8;4;4;42;182.8474121;1679.637695;9564.875977;1332.253784;20
4;DMP11;567123.92;6272921.19;0.9;1.9;=;20;1;E2;1;164.2179967;4;2;5;7;8;4;4;42;182.8474121;1679.637695;9564.875977;1332.253784;20
5;Z91P5;567125.48;6273061.35;0;0.7;<;20;1;E1;0.7;164;4;2;5;7;8;4;4;42;212.2045593;1575.772949;9467.490234;1422.70874;64.03124237
6;Z91P5;567125.48;6273061.35;0.7;1.7;<;20;1;E2;1;164;4;2;5;7;8;4;4;42;212.2045593;1575.772949;9467.490234;1422.70874;64.03124237
7;Z91P5;567125.48;6273061.35;1.7;3;<;20;1;E3;1.3;164;4;2;5;7;8;4;4;42;212.2045593;1575.772949;9467.490234;1422.70874;64.03124237
8;Z91P4;567155.31;6273103.88;0.7;1.5;<;20;1;E2;0.8;164;4;2;5;7;8;4;4;42;259.384613;1526.148804;9418.158203;1428.425659;64.03124237
9;Z91P4;567155.31;6273103.88;0;0.7;<;20;1;E1;0.7;164;4;2;5;7;8;4;4;42;259.384613;1526.148804;9418.158203;1428.425659;64.03124237
10;CUVCHENT2;567175.19;6272683.69;2;2.8;<;20;1;E3;0.8;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
11;CUVCHENT2;567175.19;6272683.69;1;2;<;20;1;E2;1;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
12;CUVCHENT1;567175.2;6272685.88;1;1.7;<;20;1;E2;0.7;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
13;CUVCHENT3;567177.62;6272683.89;1;2;<;20;1;E2;1;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
14;CUVCHENT3;567177.62;6272683.89;2;2.9;<;20;1;E3;0.9;165;4;2;5;2;8;3;4;32;353.9937439;1839.967773;9699.19043;1156.02771;44.72135925
15;Z91P2;567183.59;6273162.63;0;0.6;<;20;1;E1;0.6;164;4;2;5;7;8;4;4;42;298.8126831;1462.291504;9355.035156;1450.413696;50
16;Z91P2;567183.59;6273162.63;0.6;1.2;<;20;1;E1;0.6;164;4;2;5;7;8;4;4;42;298.8126831;1462.291504;9355.035156;1450.413696;50
17;Z91P2;567183.59;6273162.63;1.2;3;<;20;1;E3;1.8;164;4;2;5;7;8;4;4;42;298.8126831;1462.291504;9355.035156;1450.413696;50
18;Z130P1;567186.69;6272907.6;0.5;1.3;<;20;1;E1;0.8;164;4;2;5;7;8;4;4;42;243.6735077;1649.116821;9529.111328;1279.140381;31.62277603
19;Z130P1;567186.69;6272907.6;1.3;3;NA;NA;1;E3;1.7;164;4;2;5;7;8;4;4;42;243.6735077;1649.116821;9529.111328;1279.140381;31.62277603
