"NOM","XL93","YL93","FROM","TO","C10C40_LD","OUT","ECH","EP","ALT","LITHO","GEOLE","CLC","Copernic","GEOBAP","COPER_H2","GEOBAP_H2","GEO_COPER_H2","dist_basias","dist_basol","dist_centre","dist_eau","dist_route","C10C40"
"Z15T6",567356.28,6272515.11,0,0.4,"=",1,"S2",0.4,165,4,2,3,7,8,4,4,42,297.0701294,1894.258301,9697.863281,916.7878418,20,20
"Z5T8",567371.87,6272340.73,0,0.4,"=",1,"S2",0.4,165,4,2,3,7,8,4,4,42,164.413681,2003.87854,9809.55957,835.2245483,10,90
"Z31P4",567376.42,6272389.41,0,0.4,"=",1,"S2",0.4,165,4,2,3,7,8,4,4,42,200.9324646,1993.393433,9772.563477,850.9406738,10,20
"Z5T6",567392.69,6272352.22,0,0.4,"<",1,"S2",0.4,165,4,2,3,7,8,4,4,42,186.1296692,1992.089844,9788.723633,819.0848389,10,20
"Z5T5",567397.61,6272338.72,0,0.4,"<",1,"S2",0.4,165,4,2,3,9,8,4,4,42,179.9329224,1986.824951,9796.142578,816.0882568,0,20
"Z17T3",567412.86,6272445.42,0,0.4,"=",1,"S2",0.4,165,4,2,3,7,8,4,4,42,264.9601135,1931.250244,9708.667969,832.5863037,20,450
"Z5T2",567412.92,6272334.38,0,0.3,"<",1,"S2",0.3,165,4,2,3,7,8,4,4,42,190.9226379,1964.553101,9790.180664,794.0402832,10,20
"Z17T5",567433.59,6272458.17,0,0.4,"=",1,"S2",0.4,165,4,2,3,7,8,4,4,42,293.0608521,1904.785645,9680.413086,822.9216309,30,190
"P348",571425.42,6279396.11,0,0.4,"=",9,"S2",0.4,139,6,3,3,7,8,4,4,41,132.2834015,784.0947266,2545.886963,728.0109863,114.01754,60
"P329",571444.96,6279398.18,0,0.3,"=",9,"S2",0.3,139,6,3,3,7,8,4,4,41,115.8071518,805.5786133,2525.112305,707.1068115,94.33981323,370
"P328",571447.41,6279418.05,0,0.2,"=",9,"S2",0.2,139,6,3,3,7,8,4,4,41,96.89218903,809.5268555,2523.53125,692.026001,78.10249329,45
"P327",571449.21,6279437.84,0,0.3,"<",9,"S2",0.3,139,6,3,3,7,8,4,4,41,78.51685333,813.9474487,2522.107422,676.239624,63.24555206,20
"P326",571451.2,6279457.83,0,0.3,"=",1,"S2",0.3,139,6,3,3,7,8,4,4,41,61.16940689,818.8328857,2520.841797,660.6814575,44.72135925,30
"P307",571471.17,6279455.65,0,0.3,"=",9,"S2",0.3,139,6,3,3,7,8,4,4,41,62.26794052,835.7409058,2501.495361,656.0487671,42.42640686,90
"TM2",571486.97,6280612.89,0,0.3,"=",1,"S2",0.3,133.4480458,7,4,2,2,7,3,3,31,171.74823,1233.658813,2670.842041,36.05551147,30,25
"TM1",571490.06,6280619.55,0,0.3,"=",1,"S2",0.3,133.2624399,7,4,2,2,7,3,3,31,161.7586365,1234.529297,2674.60376,42.42640686,31.62277603,50
"P289",571489.35,6279453.22,0,0.4,"<",9,"S2",0.4,139,6,3,3,7,8,4,4,41,60.83827972,855.1765137,2481.536377,643.5060425,31.62277603,20
"TM4",571491.76,6280601.64,0,0.3,"=",1,"S2",0.3,133.8529357,7,4,2,2,7,3,3,31,182.4309692,1222.897339,2657.830078,36.05551147,22.36067963,20
"TM3",571494.14,6280612.28,0,0.3,"=",1,"S2",0.3,133.6165305,7,4,2,2,7,3,3,31,172.4803009,1223.693726,2661.572754,42.42640686,20,40
