"NOM","XL93","YL93","FROM","TO","C10C40_LD","OUT","ECH","EP","ALT","LITHO","GEOLE","CLC","Copernic","GEOBAP","COPER_H2","GEOBAP_H2","GEO_COPER_H2","dist_basias","dist_basol","dist_centre","dist_eau","dist_route","C10C40"
"P78",571776.33,6279286.43,0,0.5,"<",1,"E1",0.5,138.9386901,6,3,2,7,7,4,3,41,57.22880554,715.4817505,2209.632568,585.2349854,14.14213562,20
"P284",571486.55,6279193.48,0,0.8,"<",9,"E1",0.8,139,6,3,3,7,8,4,4,41,251.0467987,684.3845215,2511.693604,836.0023804,90,20
"P107",571727.03,6279190.7,0,0.5,"<",1,"E1",0.5,139,6,3,3,7,8,4,4,41,134.6519012,618.2799683,2275.419189,696.3475952,70.7106781,20
"FGU02",572849.227,6279782.04,0.05,1,"<",1,"E1",0.95,134.1215981,7,4,2,7,7,4,3,41,73.60391235,424.0084229,1129.33252,126.4911041,28.28427124,10
"GY1T1",567915.36,6272384.08,0,0.5,"<",1,"E1",0.5,165,4,2,3,7,8,4,4,42,439.4575806,1594.932861,9424.743164,382.0994568,20,20
"Z130P1",567186.69,6272907.6,0.5,1.3,"<",1,"E1",0.8,164,4,2,5,7,8,4,4,42,243.6735077,1649.116821,9529.111328,1279.140381,31.62277603,20
"Z1T5",567277.43,6272493.53,0,0.6,"<",1,"E1",0.6,165,4,2,3,7,8,4,4,42,259.4953918,1949.405396,9767.106445,980.8669434,50,20
"T16-31007-SP3",572547.1432,6280736.725,0,0.5,"<",1,"E1",0.5,133.9216012,6,3,3,1,8,3,4,31,108.2719574,287.6028748,1812.191528,218.4032898,72.11102295,10
"P69",571792.52,6279244.7,0,0.5,"<",1,"E1",0.5,139,6,3,3,7,8,4,4,41,107.0380173,665.5043945,2197.698486,614.0032349,14.14213562,20
"P281",571492,6279252.94,0,0.5,"<",9,"E1",0.5,139,6,3,3,7,8,4,4,41,203.8796082,734.8092041,2492.474121,782.4321289,150,20
"P139",571678.8,6279316.2,0,0.5,"<",1,"E1",0.5,139,6,3,3,7,8,4,4,41,56.31994629,743.5125732,2305.943115,624.2595825,50,20
"P143",571671.22,6279236.07,0,0.5,"<",1,"E1",0.5,139,6,3,3,7,8,4,4,41,114.4234924,666.2069702,2327.55957,696.3475952,94.86833191,20
"F11",571547.91,6282504.42,0,1,"=",9,"E1",1,131,6,3,13,12,4,4,2,41,366.7617493,725.8161621,3767.428467,438.6342468,80.62257385,110
"P108",571725.26,6279170.82,0,0.5,"<",9,"E1",0.5,139,6,3,3,7,8,4,4,41,154.6426086,598.3756104,2279.191895,712.1797485,84.85281372,20
"P179",571620.9,6279341.28,0,0.5,"=",1,"E1",0.5,139,6,3,3,7,8,4,4,41,53.91193008,783.9414063,2361.835449,637.8087769,56.56854248,65
"P210",571579.26,6279325.15,0,0.5,"<",1,"E1",0.5,139,6,3,3,7,8,4,4,41,98.39561462,774.2734375,2403.905518,678.0117798,94.33981323,20
"P3",571947.16,6279183.69,0,0.5,"<",1,"E1",0.5,139,6,3,3,7,8,4,4,41,85.53465271,626.3591309,2061.651855,581.8075562,14.14213562,20
"P185",571609.52,6279221.63,0,0.5,"=",1,"E1",0.5,139,6,3,3,7,8,4,4,41,160.1052704,669.8890381,2388.387207,738.1734009,130,100
"P306",571457.3,6279114.51,0,0.8,"=",1,"E1",0.8,139.6180058,6,3,3,7,8,4,4,41,296.9784241,628.6325684,2555.703613,916.7878418,10,100
"FGU12",569319.779,6279371.622,0.05,1,"<",1,"E1",0.95,150.7164233,4,2,2,7,7,4,3,42,255.3748932,1118.632324,4652.572754,291.2044067,224.7220459,10
"P10",571924.35,6279151.83,0,0.7,"<",1,"E1",0.7,139,6,3,3,7,8,4,4,41,119.778862,592.3483276,2087.615479,617.737793,36.05551147,20
"P140",571676.86,6279295.68,0,0.5,"=",9,"E1",0.5,139,6,3,3,7,8,4,4,41,64.46035004,723.7362061,2308.626465,640.7027588,64.03124237,30
"Z5P3",567466.32,6272323.39,0,0.6,"<",1,"E1",0.6,165,4,2,3,7,8,4,4,42,176.1038818,1916.841309,9764.28125,743.3034668,31.62277603,20
